OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
27,7656,CARYNDALE PARK BALL DIAMOND,40,CHAPEL HILL DR,KITCHENER,544437.9263,4803606.6435,2015-02-25,2015-09-09,ORTHO 2014,2014-04-01,876.86162291,116.627189724711
28,7693,UNIFOR LOCAL 1524 BALLDIAMOND 1,600,WABANAKI DR,PRIVATE,544900.3109,4806552.853,2015-03-05,2015-09-09,ORTHO 2014,2014-04-01,6494.28602713,307.504640428575
29,7694,UNIFOR LOCAL 1524 BALLDIAMOND 2,600,WABANAKI DR,PRIVATE,544901.7358,4806626.8837,2015-03-05,2015-09-09,ORTHO 2014,2014-04-01,4999.190117635,276.047879082209
30,8014,MONSIGNOR HALLER ELEMENTARY SCHOOL BALL DIAMOND,118,SHEA CRES,PRIVATE,541009.8133,4807338.0388,2015-04-20,2015-09-09,2014 ORTHO,2016-05-10,1696.20697266,159.404861701023
31,328,COUNTRY HILLS PUBLIC SCHOOL BALL DIAMOND,195,COUNTRY HILL DR,PRIVATE,542788.153,4806798.493,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,935.67048796,121.438369641289
32,750,CROSBY PARK BALL DIAMOND-1,,CROSBY DR,KITCHENER,544602.066,4811150.349,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1164.586867395,137.075282538297
33,744,CHERRY PARK BALL DIAMOND-1,84,STRANGE ST,KITCHENER,539874.028,4810835.716,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2091.34679505,167.418121059985
34,795,SOUTHWEST OPTIMIST SPORTSFIELD BALL DIAMOND-4,120,PIONEER DR,KITCHENER,545880.8077,4804945.8915,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4467.25353722,264.072846689227
35,354,CROSBY PARK BALL DIAMOND-2,,CROSBY DR,KITCHENER,544532.262,4811272.266,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,788.956233055,102.392361496156
36,329,BLESSED SACRAMENT SEPARATE SCHOOL BALL DIAMOND,367,THE COUNTRY WAY,PRIVATE,541828.837,4806250.717,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,553.30915321,90.3268829030399
37,793,ROSENBERG PARK BALL DIAMOND-2,600,HERITAGE DR,KITCHENER,545820.215,4811701.546,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5375.187128175,293.040113678481
38,330,ECOLE CARDINAL LEGER BALL DIAMOND,345,THE COUNTRY WAY,PRIVATE,541925.411,4806330.67,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,3102.02090328,224.766876427678
39,810,WILSON PARK BALL DIAMOND-2,72,WILSON AVE,KITCHENER,543791.805,4808316.987,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5303.24316237,283.349606728466
40,789,QUEENSMOUNT SCHOOL BALL DIAMOND-2,21,WESTMOUNT RD W,PRIVATE,539346.496,4809100.694,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,897.82837703,127.257480809965
41,372,BRIDGEPORT PUBLIC SCHOOL BALL DIAMOND,59,BRIDGE ST W,PRIVATE,541415.509,4814544.699,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1372.67978411,143.176370973303
42,371,BRIDGEPORT SPORTSFIELDS CIVITAN BALL DIAMOND-1,,BRIDGE ST E,KITCHENER,542045.473,4814240.877,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,5407.78593645,286.362688386609
43,333,GLENCAIRN SCHOOL BALL DIAMOND,664,ERINBROOK DR,PRIVATE,541231.104,4806588.529,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1503.834189155,149.118611051069
44,345,HOFSTETTER PARK BALL DIAMOND ,40,CAMEO DR,KITCHENER,546748.737,4808105.506,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6208.343507495,307.83360838671
45,783,PETER HALLMAN BALL YARD - BALL DIAMOND-2,220,HAYWARD AVE,KITCHENER,543170.728,4807929.018,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,8362.804161835,367.975549371326
46,318,ST PATRICK SCHOOL BALL DIAMOND,50,BURGETZ AVE,PRIVATE,545999.63,4809521.235,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,417.8617015,81.7434206508371
47,308,ST PAUL SCHOOL BALL DIAMOND,45,BIRCHCLIFF AVE,PRIVATE,539051.793,4808156.051,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1596.649005305,154.9641764621
48,336,TRILLIUM PUBLIC SCHOOL BALL DIAMOND-1,79,LAURENTIAN DR,PRIVATE,540849.098,4807368.025,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,1303.906330435,138.901070137004
