OBJECTID,LANDMARKID,LANDMARK,CIVIC_NO,STREET,OWNERSHIP,X_COORD,Y_COORD,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
102,7238,SMITHSON PUBLIC SCHOOL SOCCER FIELD-2,150,BELLEVIEW AVE,,543458.1749,4811461.478,2014-07-29,2015-09-09,ORTHO 2012,2012-04-01,560.12279421,111.058562547879
103,7753,FOXGLOVE PARK SOCCER FIELD,20,FOXGLOVE CRES,KITCHENER,538411.9793,4806794.4529,2015-03-10,2015-09-09,ORTHO 2014,2014-04-01,1453.35692692,166.342558414917
104,749,CRESTVIEW PUBLIC SCHOOL SOCCER FIELD-2,153,MONTCALM DR,SCHOOL BOARD,545161.3101,4811356.4478,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4028.945793075,282.784346681547
105,414,CRESTVIEW PUBLIC SCHOOL SOCCER FIELD-1,153,MONTCALM DR,SCHOOL BOARD,545040.018,4811415.955,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4245.48949,281.263667489145
106,751,DRIFTWOOD PARK PUBLIC SCHOOL SOCCER FIELD-2,50,PARKLAND CRES,SCHOOL BOARD,537452.054,4807105.665,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,4755.887673,295.173413970215
107,754,EASTWOOD C.I. SOCCER FIELD,760,WEBER ST E,SCHOOL BOARD,543700.821,4809773.323,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6966.3436275,356.879184337582
108,757,FOREST HEIGHTS C.I. SOCCER/FOOTBALL FIELD,255,FISCHER HALLMAN RD,SCHOOL BOARD,538416.173,4808256.987,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6070.7217345,321.422062854985
109,756,FOREST HEIGHTS C.I. SOCCER/FIELDHOCKEY FIELD-4,255,FISCHER HALLMAN RD,SCHOOL BOARD,538605.733,4808093.02,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,6895.763659,350.792771677124
110,2942,DOON SCHOOL SOCCER FIELD-2,1401,DOON VILLAGE RD,SCHOOL BOARD,546898.399,4804079.412,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2030.0732125,188.82189291228
111,2943,DOON SCHOOL SOCCER FIELD-3,1401,DOON VILLAGE RD,SCHOOL BOARD,546936.119,4804084.063,2007-11-21,2015-09-09,2006 ORTHO,2006-03-31,2030.0951735,188.822763625372
