X,Y,OBJECTID,FACILITY,ADDRESS,OWNER,TYPE,LONGITUDE,LATITUDE,CreationDate,Creator,EditDate,Editor
-80.525919765999959,43.463490171000018,51,Balsillie School of International Affairs,67 ERB ST W,Private,Academic Institution,-80.5259197663216,43.4634901709799,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.58484783199998,43.446367236000015,52,Waterloo Golf Academy,100 WILMOT LINE,Private,Golf Course,-80.5848478323578,43.446367235593,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.538563176999958,43.451037300000024,53,Westmount Golf and Country Club,50 INVERNESS DR,Private,Golf Course,-80.5385631769856,43.4510372998206,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.58544449499999,43.484586062,54,Green Acre Park,580 BEAVER CREEK RD,Private,Campground,-80.585444494723,43.4845860620267,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.573094789999971,43.486492960000021,55,Laurel Creek Conservation Area,625 WESTMOUNT RD,Private,Campground,-80.5730947899636,43.4864929600025,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.517062741999951,43.476348879000028,56,Comfort Inn,190 WEBER ST N,Private,Accomodation,-80.5170627422284,43.4763488788384,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.522231316999978,43.46535448100002,57,Waterloo Hotel,2 KING ST N,Private,Accomodation,-80.522231317168,43.4653544806549,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.530136271999936,43.490170927,58,The Waterloo Inn,475 KING ST N,Private,Accomodation,-80.5301362716742,43.4901709272924,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.531687702999989,43.499064521,59,Destination Inn,547 KING ST N,Private,Accomodation,-80.5316877026384,43.499064520813,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.516373483999985,43.486809008000023,60,Dearborn Business Park,135 DEARBORN PL,Private,Business Park,-80.516373483661,43.4868090078663,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.563661622999973,43.438418567000014,61,The Boardwalk,The Boardwalk,Private,Shopping Centre,-80.5636616229516,43.4384185674185,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.573723375999975,43.446668756,62,Waterloo Commons,650 ERB ST W,Private,Shopping Centre,-80.5737233759721,43.446668756252,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.549894711999968,43.479979764,63,David Johnston Research & Technology Park,,Private,Business Park,-80.549894711709,43.4799797638366,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.516899820999981,43.457770725000017,64,Sunlife Centre,227 KING ST S,Private,Business Park,-80.516899821135,43.4577707250152,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.540519223999979,43.475825156000013,65,Blackberry,,Private,Business Park,-80.5405192235777,43.4758251560654,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.519278115999953,43.460683787000022,66,University of Waterloo Master of Public Service Program,180 KING ST S,Private,Academic Institution,-80.5192781163712,43.4606837865905,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.54551246799997,43.475641114000013,67,UW School of Optometry,200 COLUMBIA ST W,Private,Academic Institution,-80.5455124684613,43.4756411141934,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.545059042999981,43.466400903000022,68,Conrad Grebel University College,140 WESTMOUNT RD N,Private,Academic Institution,-80.5450590426052,43.4664009028705,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.546435761999987,43.467869428000029,69,St. Paul's University College,190 WESTMOUNT RD N,Private,Academic Institution,-80.5464357615826,43.4678694281452,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.547408404999942,43.46904037500002,70,Renison University College,240 WESTMOUNT RD N,Private,Academic Institution,-80.5474084046252,43.4690403753125,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.545650329999944,43.469346117000015,71,St. Jerome's University College,290 WESTMOUNT RD N,Private,Academic Institution,-80.5456503295569,43.46934611745,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
-80.532300649999968,43.470076475000013,72,K W Granite Club,99 SEAGRAM DR,Private,Sports or Recreation,-80.5323006503541,43.4700764751153,2015-09-23T14:02:42.060Z,OpenData_Waterloo,2015-09-23T14:02:42.060Z,OpenData_Waterloo
