X,Y,OBJECTID,NAME,TYPE,ADDRESS,URL,ARENA,BALL_DIAMOND,BASKETBALL_COURT,CRICKET_PITCH,GYMNASIUM,SPORT_FIELD_INDOOR,SPORT_FIELD_OUTDOOR,PARK_SPACE,PICNIC_AREA,PLAYGROUND,SPLASH_PAD,SWIMMING_POOL_INDOOR,SWIMMING_POOL_OUTDOOR,TENNIS_COURT,TRACK_INDOOR,TRACK_OUTDOOR
-80.491989128006566,43.499991820902636,17,Maverick Park,Park,311 Maverick St,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.505803053772098,43.50531849699653,18,Eastbridge Green,Park,416 Eastbridge Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.504863612190974,43.50792770249997,19,Chesapeake Park,Park,530 Chesapeake Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.501471755462745,43.508780728122879,20,Bluenose Park,Park,612 Bluenose Crt,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.503064894034665,43.515214676172242,21,Whitecap Park,Park,814 Whitecap Ave,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.50113175278571,43.513815403151789,22,Angler Way Park,Park,741 Angler Way,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.505767661088441,43.515445999481123,23,Atlantic Park,Park,934 Atlantic Blvd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.515216429256469,43.512686510718822,24,Haida Park,Park,631 Breakwater Cres,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.522683927100715,43.508616251663732,25,Deer Run Park,Park,611 Deer Run Dr,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.516931051130513,43.495291434436119,26,Bluestream Park,Park,476 Bluestream Rd,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
-80.519329379885491,43.500236378904347,27,Anndale Park,Park,284 Grant Cres,http://www.waterloo.ca/en/gettingactive/neighbourhoodparks.asp,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No
