OBJECTID,PARKID,PARK,CATEGORY,SUBCATEGORY,MAP_CLASS,CIVIC_NO,STREET,OWNERSHIP,CREATE_DATE,UPDATE_DATE,SOURCE,SOURCE_DATE,SHAPE.AREA,SHAPE.LEN
126,3232,COUNTRYSTONE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,1086,COUNTRYSTONE DR,KITCHENER,2005-07-05,2015-07-31,PARK LAND DEDICATION WR123673,2005-06-21,16255.08955327,734.897840572939
127,2371,ARROWHEAD PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,116,ARROWHEAD CRES,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,8784.50627447,524.127453250504
128,2654,ELM TREE GREEN,GREEN,PASSIVE AREA,MINOR,,TRILLIUM DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2005-02-18,935.21274241,121.061282404289
129,2524,VETERANS' PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,75,LORNE CRES,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,2965.193039245,222.680272939321
130,5349,THOMAS SLEE PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,331,THOMAS SLEE DR,KITCHENER,2010-01-14,2015-08-23,LANDSCAPE PLAN,2012-07-27,5577.978420305,361.938600949359
131,5505,WILLOWLAKE PARK GREENWAY,GREENWAY,OPEN SPACE,MINOR,,MILL PARK DR,KITCHENER/GRCA,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,81418.53836458,2186.51024619339
132,2507,RANDERSON GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,RANDERSON AVE,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1589.462481115,161.866582991774
133,2537,AUTUMN RIDGE TRAIL LINK,GREENWAY,OPEN SPACE/TRAIL,LOCAL,,PINNACLE DR,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2443.53799396,563.669186732269
134,2367,HART GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,HARTWOOD PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,2749.61270145,203.17244481454
135,2455,MICHEL GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,CHARLES ST E,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,274.33718425,87.4556269669491
136,3287,ZELLER PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,245,ZELLER DR,KITCHENER,2005-11-15,2015-07-31,58M-364,2005-08-18,23526.87210754,823.850119969276
137,2515,FOREST WEST PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,155,HIGHVIEW DR,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,39533.96426064,1389.84158644392
138,2324,GREENFIELD PARK,GREEN (PARKETTE),PLAY AREA,LOCAL,525,GREENFIELD AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,8081.9586024,363.773945961487
139,5597,TILT TRAIL,GREENWAY,OPEN SPACE/TRAIL,MINOR,,TILT DR,KITCHENER,2011-04-25,2013-02-20,58M-324,2016-04-21,993.72351797,415.01518867187
140,2298,OVERLEA PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,25,OVERLEA CRT,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,6700.30229102,339.764639908161
141,5515,SPRINGDALE GREEN NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,SPRINGDALE DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,8696.72159731,601.904769025645
142,5507,FILSINGER PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,VICTORIA ST S,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,12274.28812384,569.062565685795
143,2429,MARISA PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,201,BRIDGE ST E,KITCHENER,2003-09-24,2015-07-31,OPERATIONS,2016-04-21,8086.98040041,615.178795550244
144,3049,BALZER GREENWAY EAST,GREENWAY,OPEN SPACE,MINOR,,COUNTRY HILL DR,KITCHENER,2005-02-18,2014-05-07,OPERATIONS,2016-04-21,6776.561104255,1415.30402705278
145,2385,DETWEILER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,471,WESTFOREST TRAIL,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,9387.21157638,623.631733216007
146,2297,MAJOR PARK,NEIGHBOURHOOD PARK,PLAY AREA,LOCAL,330,BREITHAUPT ST,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,3911.697494995,252.069726339109
147,2512,FILSINGER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,805,VICTORIA ST S,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,30603.56462801,771.673263402199
148,2405,TIMM PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,360,GAGE AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,11128.982227835,452.052317781824
149,2356,BEECHCROFT PLACE - SWP,NATURAL AREA,OPEN SPACE,LOCAL,,BEECHCROFT PL,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,1743.740463215,271.941138828033
150,2294,HOFSTETTER PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,40,HOFSTETTER AVE,KITCHENER,2003-09-24,2015-08-23,OPERATIONS,2016-04-21,26196.61237477,675.561829618409
151,5371,VETERANS' GREEN INTERPRETIVE AREA,GREEN,PASSIVE AREA,LOCAL,,SPADINA RD E,KITCHENER,2010-03-15,2014-05-07,PLANNING,2010-02-10,285.27926831,78.1157088338913
152,2331,KINGSDALE PARK,NEIGHBOURHOOD PARK,PLAY AREA,MINOR,124,CEDARWOODS CRES,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,12580.892295985,650.941160258861
153,5506,SPRINGMOUNT PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,EDENBRIDGE DR,KITCHENER,2010-09-19,2014-05-07,OPERATIONS,2016-04-21,134654.19714153,4204.82192809374
154,2415,SCHARLACH GREEN,GREEN (PARKETTE),PASSIVE AREA,LOCAL,,BELMONT AVE W,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,276.479160525,70.1511649690396
155,2488,ACTIVA SPORTSPLEX NATURAL AREA,NATURAL AREA,OPEN SPACE,MINOR,,HANSON AVE,KITCHENER,2010-09-19,2014-05-13,OPERATIONS,2016-04-21,19771.280068275,606.99135511932
156,2447,BATTLER ROAD - SWP,NATURAL AREA,OPEN SPACE/HAZARD LAND,MINOR,,BATTLER RD,KITCHENER,2003-09-24,2014-05-30,OPERATIONS,2016-04-21,19242.495923565,676.02031855889
157,8512,BLAIR CREEK - SWP#D,NATURAL AREA,OPEN SPACE/SWM,LOCAL,,BLAIR CREEK DR,KITCHENER,2015-08-24,2015-08-28,58M-583,2015-06-11,7557.33002437,433.463584771236
158,4016,WESTMEADOW PARK NATURAL AREA,NATURAL AREA,OPEN SPACE,LOCAL,,WESTMEADOW DR,KITCHENER,2010-09-19,2015-07-31,KPMP,2010-06-01,28709.079248945,1184.95036839694
159,2278,OLD MILL GREEN,NATURAL AREA,OPEN SPACE,LOCAL,,OLD MILL RD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,6972.321703255,578.88061318323
160,5454,BLAIR CREEK - SWP#C,NATURAL AREA,OPEN SPACE/SWM,LOCAL,,BLAIR CREEK DR,KITCHENER,2010-08-22,2015-08-28,58M-584,2015-06-26,22592.87628007,684.724213258535
161,2567,CHICOPEE-VALE TRAIL,NATURAL AREA,OPEN SPACE,MINOR,,GRAND RIVER BLVD,KITCHENER,2003-09-24,2014-05-07,OPERATIONS,2016-04-21,46705.597929695,2336.36433596545
