OBJECTID,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,WIDTH,GRADE,SOURCE,SOURCE_DATE,WALKABILITYID,SHAPE.LEN
114,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,114,250.83822506356
115,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,3,FLAT,2015 TRAIL INVENTORY PROJECT,2015-10-01,115,41.4497141860988
116,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,116,16.2586230797691
117,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,117,119.365464767286
118,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,118,19.5062429373265
119,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2000,2000-04-01,119,603.062924352734
120,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,120,11.2662914523813
121,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,121,11.5757019195382
122,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,122,142.667856127651
123,SIDEWALK,NA,,CONCRETE,1.5,N,,2016-04-19,123,30.713432591783
124,SIDEWALK,NA,,CONCRETE,3,N,ORTHO 2012,2012-04-01,124,10.2738784882605
125,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,125,15.7524783700851
126,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2003,2003-04-01,126,185.654198382092
127,TRAIL,MULTI-USE PATHWAY,SURFACE,ASPHALT,2.75,FLAT,2015 TRAIL INVENTORY PROJECT,2010-09-01,127,101.338552677428
128,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,128,10.662245167412
129,SIDEWALK,NA,,CONCRETE,1.5,N,ORTHO 2012,2012-04-01,129,68.5711522049907
130,LINK,PED LINK,,NA - VIRTUAL LINK,1.5,N,ORTHO 2012,2012-04-01,130,17.4634949136764
