OBJECTID,PATH_TYPE,STATUS,SURFACE,LENGTH_M
1499,Virtual Link,Active,,12.849462
1500,Pedestrian Crossing,Active,,10.257878
1501,Pedestrian Crossing,Active,,15.255851
1502,Pedestrian Crossing,Active,,11.195979
1503,Pedestrian Crossing,Active,,12.319905
1504,Virtual Link,Active,,19.066555
1505,Pedestrian Crossing,Active,,11.591311
1506,Pedestrian Crossing,Active,,18.939208
1507,Virtual Link,Active,,11.205579
1508,Pedestrian Crossing,Active,,10.773537
1509,Pedestrian Crossing,Active,,6.647569
1510,Virtual Link,Active,,10.732978
1511,Pedestrian Crossing,Active,,13.193737
1512,Virtual Link,Active,,10.122689
1513,Virtual Link,Active,,6.456536
1514,Virtual Link,Active,,11.096214
1515,Pedestrian Crossing,Active,,8.957504
1516,Virtual Link,Active,,12.460617
1517,Pedestrian Crossing,Active,,10.767832
1518,Pedestrian Crossing,Active,,12.125926
1519,Pedestrian Crossing,Active,,12.455295
1520,Pedestrian Crossing,Active,,10.425513
1521,Virtual Link,Active,,15.10944
1522,Pedestrian Crossing,Active,,16.674717
1523,Pedestrian Crossing,Active,,16.149099
1524,Pedestrian Crossing,Active,,12.776635
1525,Pedestrian Crossing,Active,,10.882716
1526,Virtual Link,Active,,14.93142
1527,Pedestrian Crossing,Active,,5.28574
1528,Virtual Link,Active,,17.114264
1529,Pedestrian Crossing,Active,,12.873342
1530,Virtual Link,Active,,10.707842
1531,Pedestrian Crossing,Active,,31.190063
1532,Pedestrian Crossing,Active,,9.986618
1533,Virtual Link,Active,,13.983863
1534,Pedestrian Crossing,Active,,8.12445
1535,Virtual Link,Active,,13.565374
1536,Pedestrian Crossing,Active,,11.564851
1537,Pedestrian Crossing,Active,,29.234887
1538,Pedestrian Crossing,Active,,40.98998
1539,Pedestrian Crossing,Active,,10.985513
1540,Pedestrian Crossing,Active,,11.678245
1541,Pedestrian Crossing,Active,,8.284811
1542,Pedestrian Crossing,Active,,10.856936
1543,Virtual Link,Active,,8.843979
1544,Pedestrian Crossing,Active,,19.566538
1545,Pedestrian Crossing,Active,,17.015888
1546,Virtual Link,Active,,17.882132
1547,Pedestrian Crossing,Active,,13.028241
1548,Pedestrian Crossing,Active,,12.952639
1549,Pedestrian Crossing,Active,,17.900446
1550,Virtual Link,Active,,10.629578
1551,Virtual Link,Active,,10.272473
1552,Pedestrian Crossing,Active,,11.691596
1553,Pedestrian Crossing,Active,,11.599012
1554,Pedestrian Crossing,Active,,15.018279
1555,Pedestrian Crossing,Active,,13.022237
1556,Pedestrian Crossing,Active,,17.696267
1557,Virtual Link,Active,,24.054156
1558,Virtual Link,Active,,116.153339
1559,Pedestrian Crossing,Active,,19.944505
1560,Pedestrian Crossing,Active,,19.482885
1561,Pedestrian Crossing,Active,,12.269431
1562,Pedestrian Crossing,Active,,17.355051
1563,Pedestrian Crossing,Active,,13.114882
1564,Pedestrian Crossing,Active,,5.652083
1565,Virtual Link,Active,,9.260284
1566,Pedestrian Crossing,Active,,9.774994
1567,Pedestrian Crossing,Active,,12.459527
1568,Virtual Link,Active,,7.679391
1569,Pedestrian Crossing,Active,,14.846076
1570,Pedestrian Crossing,Active,,20.37744
1571,Pedestrian Crossing,Active,,25.910959
1572,Pedestrian Crossing,Active,,14.855542
1573,Virtual Link,Active,,11.785624
1574,Pedestrian Crossing,Active,,13.655778
1575,Pedestrian Crossing,Active,,21.581625
1576,Pedestrian Crossing,Active,,9.643993
1577,Pedestrian Crossing,Active,,11.136567
1578,Pedestrian Crossing,Active,,27.404824
1579,Pedestrian Crossing,Active,,23.58903
1580,Virtual Link,Active,,10.450009
1581,Pedestrian Crossing,Active,,12.489955
1582,Pedestrian Crossing,Active,,12.072759
1583,Pedestrian Crossing,Active,,12.856846
1584,Pedestrian Crossing,Active,,10.125334
1585,Pedestrian Crossing,Active,,24.576735
1586,Virtual Link,Active,,9.937786
1587,Pedestrian Crossing,Active,,15.441135
1588,Pedestrian Crossing,Active,,10.027228
1589,Virtual Link,Active,,10.836381
1590,Pedestrian Crossing,Active,,14.143452
1591,Pedestrian Crossing,Active,,13.105245
1592,Pedestrian Crossing,Active,,14.87488
1593,Pedestrian Crossing,Active,,13.486035
1594,Pedestrian Crossing,Active,,13.494378
1595,Virtual Link,Active,,5.747589
1596,Virtual Link,Active,,50.671824
1597,Pedestrian Crossing,Active,,17.649872
1598,Pedestrian Crossing,Active,,50.518033
1599,Virtual Link,Active,,18.298063
1600,Pedestrian Crossing,Active,,15.155332
1601,Pedestrian Crossing,Active,,23.956702
1602,Pedestrian Crossing,Active,,12.880365
1603,Pedestrian Crossing,Active,,15.000699
1604,Pedestrian Crossing,Active,,18.371745
1605,Virtual Link,Active,,10.800742
1606,Pedestrian Crossing,Active,,7.653419
1607,Pedestrian Crossing,Active,,16.023615
1608,Virtual Link,Active,,17.189615
1609,Pedestrian Crossing,Active,,10.217881
1610,Virtual Link,Active,,12.224743
1611,Pedestrian Crossing,Active,,10.578682
1612,Pedestrian Crossing,Active,,29.160701
1613,Virtual Link,Active,,10.205839
1614,Pedestrian Crossing,Active,,29.785173
1615,Virtual Link,Active,,10.657993
1616,Pedestrian Crossing,Active,,14.778506
1617,Pedestrian Crossing,Active,,9.161086
1618,Pedestrian Crossing,Active,,8.398931
1619,Pedestrian Crossing,Active,,12.540921
1620,Virtual Link,Active,,9.587676
1621,Virtual Link,Active,,12.904063
1622,Virtual Link,Active,,14.154162
1623,Virtual Link,Active,,9.7111
1624,Virtual Link,Active,,15.302152
1625,Pedestrian Crossing,Active,,10.83456
1626,Pedestrian Crossing,Active,,9.838086
1627,Pedestrian Crossing,Active,,12.511266
1628,Pedestrian Crossing,Active,,9.827394
1629,Pedestrian Crossing,Active,,15.602634
1630,Pedestrian Crossing,Active,,15.142963
1631,Pedestrian Crossing,Active,,11.555566
1632,Pedestrian Crossing,Active,,16.947295
1633,Pedestrian Crossing,Active,,10.271511
